@relation 'ObesityDataSet_raw_and_data_sinthetic-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R7-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R8-precision6-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-R13-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R14-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(-inf-1.666667]\':Nunca-weka.filters.unsupervised.attribute.RenameNominalValues-R7-N\'(1.666667-2.333333]\':As vezes, \'(2.333333-inf)\':Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R8-N\'(-inf-2]\':Entre uma e duas, \'(2-3]\':Tres, \'(3-inf)\':Mais de tres-weka.filters.unsupervised.attribute.RenameNominalValues-R13-N\'(-inf-0.75]\':Nao pratica, \'(0.75-1.5]\':Um a dois dias na semana, \'(1.5-2.25]\':Dois a  quatro dias na semana, \'(2.25-inf)\':Quatro a cinco dias na semana-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.6666667]\':Zero a duas horas por dia, \'(0.666667-1.333333]\':Tres a cinco horas por dia, \'(1.333333-inf)\':Mais de cinco horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R14-N\'(-inf-0.666667]\':Zero a duas horas por dia-weka.filters.unsupervised.attribute.RenameNominalValues-R15-Nno:Nao consome, Sometimes:As vezes, Frequently:Com frequencia, Always:Sempre-weka.filters.unsupervised.attribute.RenameNominalValues-R16-NPublic_Transportation:Transporte publico, Walking:A pe, Automobile:Automovel, Motorbike:Moto, Bike:Bicicleta-weka.filters.unsupervised.attribute.RenameNominalValues-R1-NFemale:Feminino, Male:Masculino-weka.filters.unsupervised.attribute.RenameNominalValues-R5-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R6-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R10-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R12-Nno:Nao, yes:Sim-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NNormal_Weight:Peso Normal, Overweight_Level_I: Sobrepeso level 1, Overweight_Level_II: Sobrepeso level 2, Obesity_Type_I: Obesidade tipo 1, Obesity_Type_II: Obesidade tipo 2, Obesity_Type_II: Obesidade Tipo 3, Insufficient_Weight: Abaixo do peso-weka.filters.unsupervised.attribute.RenameNominalValues-R17-NObesidade Tipo 3: Obesidade tipo 2, Obesity_Type_III: Obesidade tipo 3-weka.filters.unsupervised.attribute.RenameNominalValues-R9-NSometimes: As vezes, Frequently:Com frequencia, Always:Sempre, no:Nunca-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R11-precision6-weka.filters.unsupervised.attribute.RenameNominalValues-R11-N\'(-inf-1.666667]\':Menos de um litro, \'(1.666667-2.333333]\':Entre um e dois litros, \'(2.333333-inf)\':Mais de dois litros-weka.filters.unsupervised.attribute.MathExpression-EA4/(A3*A3)-R1-2,5-17-weka.filters.unsupervised.attribute.Remove-R4'

@attribute Genero_de_Nascimento {Feminino,Masculino}
@attribute Idade numeric
@attribute IMC numeric
@attribute Tem_historico_de_sobrepeso_familiar {Sim,Nao}
@attribute Come_comidas_caloricas_com_frequencia {Nao,Sim}
@attribute Come_vegetais_nas_refeicoes {Nunca,'As vezes',Sempre}
@attribute Quantidade_de_refeicoes_diarias {'Entre uma e duas',Tres,'Mais de tres'}
@attribute Come_entre_as_refeicoes {'As vezes','Com frequencia',Sempre,Nunca}
@attribute Fuma {Nao,Sim}
@attribute Consumo_de_agua_diario {'Menos de um litro','Entre um e dois litros','Mais de dois litros'}
@attribute Monitora_as_calorias_ingeridas {Nao,Sim}
@attribute Frequencia_de_atividade_fisica {'Nao pratica','Um a dois dias na semana','Dois a  quatro dias na semana','Quatro a cinco dias na semana'}
@attribute Tempo_gasto_com_dispositivos_tecnologicos {'Zero a duas horas por dia','Tres a cinco horas por dia','Mais de cinco horas por dia'}
@attribute Frequencia_de_consumo_de_alcool {'Nao consome','As vezes','Com frequencia',Sempre}
@attribute Meio_de_transporte {'Transporte publico','A pe',Automovel,Moto,Bicicleta}
@attribute Classificacao {'Peso Normal','Sobrepeso level 1','Sobrepeso level 2','Obesidade tipo 1','Abaixo do peso','Obesidade tipo 2','Obesidade tipo 3'}

@data
Feminino,52,30.461118,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Sim,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome',Automovel,'Obesidade tipo 1'
Feminino,22,22.038567,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,22,32.03125,Sim,Sim,Nunca,'Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes','Transporte publico','Obesidade tipo 1'
Masculino,21,19.868517,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,20,19.53125,Sim,Nao,'As vezes','Mais de tres','Com frequencia',Sim,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,21,22.491349,Sim,Sim,'As vezes','Entre uma e duas','Com frequencia',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Mais de cinco horas por dia',Sempre,'A pe','Peso Normal'
Feminino,23,20.3125,Nao,Sim,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes',Automovel,'Peso Normal'
Masculino,19,24.816327,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Quatro a cinco dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,23,24.801587,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','Com frequencia','A pe','Peso Normal'
Masculino,29,26.493026,Nao,Sim,Nunca,'Mais de tres','Com frequencia',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome',Moto,'Sobrepeso level 1'
Feminino,31,27.239224,Sim,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,24,24.258674,Nao,Nao,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','A pe','Peso Normal'
Masculino,39,28.089011,Nao,Nao,'As vezes','Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,22,22.773186,Nao,Sim,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,21,28.888889,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,22,20.13478,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','A pe','Peso Normal'
Feminino,21,18.75,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,23,24.609734,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,21,28.734694,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Feminino,21,26.892323,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 1'
Masculino,23,21.258503,Nao,Nao,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','A pe','Peso Normal'
Feminino,21,23.225432,Sim,Sim,Nunca,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,21,22.499637,Sim,Sim,'As vezes',Tres,'As vezes',Sim,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Com frequencia','Transporte publico','Peso Normal'
Masculino,21,24.419279,Nao,Nao,Nunca,Tres,Nunca,Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,21,27.767098,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Masculino,21,21.736505,Sim,Sim,Nunca,Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,21,23.510204,Sim,Sim,Nunca,Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,20,21.773842,Sim,Nao,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','As vezes','A pe','Peso Normal'
Feminino,21,20.811655,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,21,21.025423,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','A pe','Peso Normal'
Feminino,20,19.555556,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,23,19.33373,Nao,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,23,20.700817,Sim,Nao,Sempre,Tres,Nunca,Nao,'Entre um e dois litros',Sim,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,22,21.484375,Nao,Nao,Sempre,'Mais de tres',Sempre,Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,23,21.96712,Nao,Nao,'As vezes','Mais de tres','Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes',Automovel,'Peso Normal'
Masculino,22,24.221453,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes',Automovel,'Peso Normal'
Masculino,21,24.167162,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Menos de um litro',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,17,24.609734,Sim,Sim,Sempre,'Entre uma e duas','As vezes',Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','A pe','Peso Normal'
Masculino,20,17.755682,Sim,Sim,'As vezes','Mais de tres','As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Mais de cinco horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,21,20.395421,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,20,21.303949,Nao,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Quatro a cinco dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,22,22.230987,Nao,Sim,'As vezes','Entre uma e duas',Nunca,Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Masculino,22,19.486961,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','As vezes',Automovel,'Peso Normal'
Feminino,21,20.68515,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Menos de um litro',Nao,'Um a dois dias na semana','Tres a cinco horas por dia','Nao consome','Transporte publico','Peso Normal'
Feminino,21,26.291724,Sim,Sim,Nunca,Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Masculino,23,27.777778,Sim,Sim,Nunca,Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 2'
Masculino,23,34.894399,Sim,Sim,'As vezes',Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Com frequencia',Automovel,'Obesidade tipo 1'
Masculino,30,36.157025,Sim,Sim,Nunca,Tres,Nunca,Sim,'Entre um e dois litros',Sim,'Nao pratica','Zero a duas horas por dia','Com frequencia',Automovel,'Obesidade tipo 2'
Masculino,23,18.518519,Sim,Nao,'As vezes',Tres,Nunca,Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,23,29.384757,Sim,Sim,'As vezes',Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Nao pratica','Mais de cinco horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,22,17.928215,Sim,Nao,Sempre,Tres,Nunca,Nao,'Mais de dois litros',Sim,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes','Transporte publico','Abaixo do peso'
Feminino,24,22.038567,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Sim,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,19,18.991965,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','As vezes',Bicicleta,'Peso Normal'
Masculino,24,29.411765,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Com frequencia','Transporte publico','Sobrepeso level 2'
Feminino,23,16.937032,Sim,Nao,Sempre,Tres,'As vezes',Nao,'Mais de dois litros',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,24,17.578125,Sim,Nao,'As vezes',Tres,Nunca,Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Abaixo do peso'
Feminino,24,27.681661,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 2'
Feminino,23,33.057851,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Mais de dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Obesidade tipo 1'
Masculino,23,22.038567,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Peso Normal'
Feminino,19,21.829952,Nao,Nao,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Sim,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,30,28.08642,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,23,30.657248,Sim,Sim,'As vezes',Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','Nao consome','Transporte publico','Obesidade tipo 1'
Feminino,19,17.578125,Nao,Nao,Sempre,Tres,Nunca,Nao,'Mais de dois litros',Sim,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','A pe','Abaixo do peso'
Masculino,25,28.719723,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Nao,'Nao pratica','Tres a cinco horas por dia','As vezes','Transporte publico','Sobrepeso level 2'
Masculino,23,21.487603,Sim,Nao,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,21,24.251278,Sim,Sim,'As vezes','Entre uma e duas','Com frequencia',Nao,'Mais de dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
Masculino,19,26.264944,Sim,Sim,'As vezes',Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Nao pratica','Zero a duas horas por dia','Nao consome','Transporte publico','Sobrepeso level 1'
Feminino,22,23.875115,Sim,Sim,'As vezes',Tres,'Com frequencia',Nao,'Entre um e dois litros',Sim,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome',Automovel,'Peso Normal'
Feminino,29,26.989619,Sim,Sim,Sempre,Tres,'As vezes',Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Tres a cinco horas por dia','Com frequencia',Automovel,'Sobrepeso level 2'
Feminino,25,35.003199,Nao,Nao,Sempre,'Mais de tres',Sempre,Nao,'Menos de um litro',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Obesidade tipo 2'
Feminino,20,24.690405,Sim,Nao,Sempre,Tres,Sempre,Nao,'Entre um e dois litros',Sim,'Nao pratica','Tres a cinco horas por dia','Com frequencia','Transporte publico','Peso Normal'
Masculino,55,26.511804,Sim,Nao,Sempre,'Mais de tres','Com frequencia',Nao,'Mais de dois litros',Sim,'Quatro a cinco dias na semana','Zero a duas horas por dia','Com frequencia','A pe','Sobrepeso level 1'
Feminino,20,22.265625,Nao,Nao,Sempre,Tres,Sempre,Nao,'Entre um e dois litros',Nao,'Um a dois dias na semana','Zero a duas horas por dia','Nao consome','A pe','Peso Normal'
Feminino,24,18.75,Nao,Sim,Sempre,Tres,'As vezes',Nao,'Entre um e dois litros',Nao,'Dois a  quatro dias na semana','Zero a duas horas por dia','Nao consome','Transporte publico','Peso Normal'
